id,chapter,zoom,alt,image,source-credit,source-link,description,lon,lat
1,South Plaza,15,The main hub for Health GIS,http://alecfrench.co.uk/wp-content/uploads/2017/07/south-plaza-320x320.jpg,Source: NHS,https://www.flickr.com/photos/56513965@N06/21047067205,Where the majority of the HealthGIS team is located,-2.591614,51.459824
2,The Causeway,17,Office in Worthing,https://www.michaeljones.co.uk/img/new-homes-pages/causeway-place/causeway1.jpg,Source:Micheal Jones,https://flic.kr/p/FNxWf8,Graham and James work in this office ,-0.411087,50.818093
